Country,Code,Year,Meat Supply Per Capita (Kg),GDP Per Capita
Australia,AUS,1990,115.25,31058.25967
Australia,AUS,1991,112.12,30542.91971
Australia,AUS,1992,112.14,30298.92902
Australia,AUS,1993,110.81,31213.07985
Australia,AUS,1994,111.7,32114.83084
Australia,AUS,1995,108.76,32946.90067
Australia,AUS,1996,107.63,33778.06354
Australia,AUS,1997,105.9,34727.19978
Australia,AUS,1998,110.7,35940.01714
Australia,AUS,1999,110.38,37334.47523
Australia,AUS,2000,111.07,38343.00215
Australia,AUS,2001,109.97,38559.90419
Australia,AUS,2002,110.71,39616.3361
Australia,AUS,2003,117.88,40298.88605
Australia,AUS,2004,107.74,41449.84195
Australia,AUS,2005,117.29,42217.13635
Australia,AUS,2006,111.8,42761.40561
Australia,AUS,2007,122.1,44128.72709
Australia,AUS,2008,112.38,44835.36141
Australia,AUS,2009,112.28,44771.48421
Australia,AUS,2010,111.95,44991.78371
Australia,AUS,2011,121.12,45463.682
Australia,AUS,2012,117.33,46427.3682
Australia,AUS,2013,116.23,46814.74151
Australia,AUS,2014,119.47,47289.96461
Australia,AUS,2015,123.26,47636.31964
Australia,AUS,2016,123.04,48197.43119
Australia,AUS,2017,121.6,48482.64746
Brazil,BRA,1990,49.41,10521.12101
Brazil,BRA,1991,52.64,10493.92831
Brazil,BRA,1992,53.68,10268.1141
Brazil,BRA,1993,55.3,10569.6951
Brazil,BRA,1994,60.57,10953.12026
Brazil,BRA,1995,69.02,11254.26318
Brazil,BRA,1996,70.25,11321.38987
Brazil,BRA,1997,71.92,11524.11107
Brazil,BRA,1998,72.22,11387.62356
Brazil,BRA,1999,76.44,11272.7068
Brazil,BRA,2000,78.98,11600.94846
Brazil,BRA,2001,76.38,11602.4996
Brazil,BRA,2002,78.69,11800.84097
Brazil,BRA,2003,79.66,11786.33375
Brazil,BRA,2004,81.21,12316.37426
Brazil,BRA,2005,74.52,12565.94139
Brazil,BRA,2006,77.9,12922.15548
Brazil,BRA,2007,80.54,13564.9942
Brazil,BRA,2008,86.18,14114.97477
Brazil,BRA,2009,85.21,13962.25888
Brazil,BRA,2010,89.47,14873.20832
Brazil,BRA,2011,92.97,15323.33173
Brazil,BRA,2012,93.53,15478.78929
Brazil,BRA,2013,97.58,15805.22291
Brazil,BRA,2014,96.23,15749.51216
Brazil,BRA,2015,97.88,15064.17607
Brazil,BRA,2016,97.27,14451.15284
Brazil,BRA,2017,99.83,14524.61354
China,CHN,1990,23.71,1423.896348
China,CHN,1991,25.43,1534.705272
China,CHN,1992,27.56,1731.657215
China,CHN,1993,29.65,1949.534268
China,CHN,1994,32.02,2178.924057
China,CHN,1995,34.33,2391.477116
China,CHN,1996,34.59,2601.363426
China,CHN,1997,37.09,2812.711135
China,CHN,1998,39.91,3004.427342
China,CHN,1999,41.41,3206.730026
China,CHN,2000,44,3451.679231
China,CHN,2001,43.76,3712.338132
China,CHN,2002,44.62,4024.355697
China,CHN,2003,46.63,4400.825183
China,CHN,2004,46.74,4817.211845
China,CHN,2005,48.44,5334.646639
China,CHN,2006,49.96,5979.781712
China,CHN,2007,51.43,6795.174012
China,CHN,2008,53.72,7412.874363
China,CHN,2009,55.4,8069.354638
China,CHN,2010,56.84,8884.588031
China,CHN,2011,56.85,9686.61529
China,CHN,2012,59.62,10397.56142
China,CHN,2013,61.05,11149.86756
China,CHN,2014,60.83,11917.3385
China,CHN,2015,60.69,12691.82155
China,CHN,2016,60.83,13487.82248
China,CHN,2017,60.59,14344.42124
India,IND,1990,4.12,1813.135853
India,IND,1991,4.23,1795.302326
India,IND,1992,4.23,1856.170582
India,IND,1993,4.23,1906.412058
India,IND,1994,4.18,1994.226916
India,IND,1995,4.1,2104.505298
India,IND,1996,4.08,2220.893203
India,IND,1997,4.02,2268.043087
India,IND,1998,4.06,2364.408687
India,IND,1999,4.05,2527.508347
India,IND,2000,3.97,2578.59153
India,IND,2001,4.03,2656.655208
India,IND,2002,4.07,2711.511846
India,IND,2003,4.08,2876.743382
India,IND,2004,4.18,3054.918876
India,IND,2005,4.12,3245.299885
India,IND,2006,4.16,3453.105661
India,IND,2007,4.36,3661.955505
India,IND,2008,4.41,3720.092648
India,IND,2009,4.45,3956.359016
India,IND,2010,4.38,4234.979573
India,IND,2011,4.13,4399.88824
India,IND,2012,4.11,4583.173199
India,IND,2013,3.69,4818.522557
India,IND,2014,3.5,5116.629105
India,IND,2015,3.67,5464.394057
India,IND,2016,3.77,5851.39488
India,IND,2017,3.78,6182.922109
Indonesia,IDN,1990,8.14,4532.540351
Indonesia,IDN,1991,8.64,4762.388145
Indonesia,IDN,1992,9.1,4986.783828
Indonesia,IDN,1993,9.77,5224.165931
Indonesia,IDN,1994,10.35,5529.232182
Indonesia,IDN,1995,9.86,5892.071754
Indonesia,IDN,1996,10.47,6258.436533
Indonesia,IDN,1997,10.37,6458.072609
Indonesia,IDN,1998,8.5,5531.303282
Indonesia,IDN,1999,7.96,5497.814735
Indonesia,IDN,2000,8.36,5689.260223
Indonesia,IDN,2001,8.69,5816.425412
Indonesia,IDN,2002,9.7,5996.189946
Indonesia,IDN,2003,10.06,6198.653268
Indonesia,IDN,2004,10.52,6423.720714
Indonesia,IDN,2005,10.05,6699.272091
Indonesia,IDN,2006,11,6974.445654
Indonesia,IDN,2007,10.87,7319.434386
Indonesia,IDN,2008,11.24,7657.594719
Indonesia,IDN,2009,11.55,7906.261955
Indonesia,IDN,2010,12.32,8286.73287
Indonesia,IDN,2011,12.86,8680.213342
Indonesia,IDN,2012,12.97,9080.066113
Indonesia,IDN,2013,13.55,9457.018541
Indonesia,IDN,2014,10.35,9801.166283
Indonesia,IDN,2015,10.56,10149.60387
Indonesia,IDN,2016,11.73,10531.11097
Indonesia,IDN,2017,11.7,10935.63172
United States,USA,1990,112.69,40411.16034
United States,USA,1991,114.27,39831.58569
United States,USA,1992,117.41,40666.70058
United States,USA,1993,116.48,41238.78261
United States,USA,1994,119,42377.35551
United States,USA,1995,118.13,42999.78871
United States,USA,1996,117.85,44105.82746
United States,USA,1997,116.88,45516.00233
United States,USA,1998,120.4,47004.61413
United States,USA,1999,123.81,48676.65902
United States,USA,2000,121.68,50124.89118
United States,USA,2001,120.78,50126.72022
United States,USA,2002,124.39,50528.78858
United States,USA,2003,123.17,51529.7264
United States,USA,2004,125.76,52994.55196
United States,USA,2005,125.3,54353.06858
United States,USA,2006,125.53,55368.35972
United States,USA,2007,125.47,55873.24474
United States,USA,2008,122.61,55271.65747
United States,USA,2009,118.7,53399.36563
United States,USA,2010,118.82,54315.91248
United States,USA,2011,116.29,54758.83327
United States,USA,2012,114.91,55581.41384
United States,USA,2013,115.13,56214.42868
United States,USA,2014,117.56,57213.26784
United States,USA,2015,120.86,58540.29609
United States,USA,2016,122.86,59112.24221
United States,USA,2017,124.1,60109.65573
