Country,Code,Year,Beef Production (Tonnes),Pigmeat Production (Tonnes),Poultry Production (Tonnes)
Australia,AUS,1990,1676726,317117,412584
Australia,AUS,1991,1759569,312116,416639
Australia,AUS,1992,1790870,335785,443412
Australia,AUS,1993,1825813,328317,464340
Australia,AUS,1994,1824805,344260,488822
Australia,AUS,1995,1803417,351299,488951
Australia,AUS,1996,1744696,333967,507444
Australia,AUS,1997,1810300,344200,588823
Australia,AUS,1998,1955253,369000,631431
Australia,AUS,1999,2010530,362200,607164
Australia,AUS,2000,1987902,364400,643238
Australia,AUS,2001,2078900,378531,649040
Australia,AUS,2002,2089742,407274,718778
Australia,AUS,2003,1997563,418875,704437
Australia,AUS,2004,2112892,394823,744521
Australia,AUS,2005,2090272,390336,776647
Australia,AUS,2006,2188318,382682,830016
Australia,AUS,2007,2168946,384586,860685
Australia,AUS,2008,2138328,345076,843723
Australia,AUS,2009,2106385,323670,869269
Australia,AUS,2010,2128598,338734,973202
Australia,AUS,2011,2129021,344266,1049992
Australia,AUS,2012,2152031,351737,1084998
Australia,AUS,2013,2359064,359903,1103437
Australia,AUS,2014,2595149,362192,1141828
Australia,AUS,2015,2661640,371163,1154852
Brazil,BRA,1990,4115000,1050000,2421565
Brazil,BRA,1991,4510800,1200000,2703855
Brazil,BRA,1992,4715500,1260000,2957042
Brazil,BRA,1993,4806900,1500000,3235056
Brazil,BRA,1994,5136000,1700000,3511566
Brazil,BRA,1995,5710200,1800000,4153668
Brazil,BRA,1996,6186900,1900000,4152495
Brazil,BRA,1997,5921500,2050000,4571000
Brazil,BRA,1998,5794300,2400000,4969050
Brazil,BRA,1999,6413300,2400000,5646800
Brazil,BRA,2000,6578800,2600000,6124750
Brazil,BRA,2001,6823600,2637000,6380150
Brazil,BRA,2002,7139000,2798000,7239215
Brazil,BRA,2003,7230000,3059000,7967410
Brazil,BRA,2004,7774000,3110000,8895410
Brazil,BRA,2005,8592000,2800000,8148190
Brazil,BRA,2006,9020000,2830000,8461543
Brazil,BRA,2007,9303000,2990000,9390575
Brazil,BRA,2008,9024000,3015000,10688080
Brazil,BRA,2009,8935000,3130000,10414020
Brazil,BRA,2010,9115000,3195000,11185226
Brazil,BRA,2011,9030000,3227000,11918530
Brazil,BRA,2012,9307000,3149726,12052902
Brazil,BRA,2013,9675000,3117087,12492283
Brazil,BRA,2014,9723000,3192918,12982413
Brazil,BRA,2015,9425000,3430734,13636839
China,CHN,1990,1279924,23559489,3740003
China,CHN,1991,1538585,25824122,4479763
China,CHN,1992,1780731,27647176,5120819
China,CHN,1993,2227504,29836491,6407832
China,CHN,1994,2420202,33426476,7173750
China,CHN,1995,2903233,37885022,8674031
China,CHN,1996,3253779,33014694,8794685
China,CHN,1997,3975263,37156348,10219776
China,CHN,1998,4376426,39900430,11222433
China,CHN,1999,5079177,41049331,11761396
China,CHN,2000,5155924,40751526,12688865
China,CHN,2001,5107845,41654251,12524013
China,CHN,2002,5239939,42322776,12732083
China,CHN,2003,5445101,43433462,13135215
China,CHN,2004,5624749,44478789,13236763
China,CHN,2005,5702119,46622207,14055218
China,CHN,2006,5924165,47590463,14285777
China,CHN,2007,6281250,43933237,15171768
China,CHN,2008,6191903,47190352,15992412
China,CHN,2009,6277317,49897955,16616631
China,CHN,2010,6306451,51693862,17243044
China,CHN,2011,6122697,51593351,17799825
China,CHN,2012,6162285,54435720,18696521
China,CHN,2013,6146303,55917319,18907043
China,CHN,2014,6173202,57660394,18188185
China,CHN,2015,6183515,57415567,17903618
India,IND,1990,2114348,413000,391570
India,IND,1991,2166802,427000,522580
India,IND,1992,2178608,444500,540320
India,IND,1993,2187641,448000,608360
India,IND,1994,2196812,451500,625100
India,IND,1995,2206259,455000,642230
India,IND,1996,2216120,458500,660390
India,IND,1997,2225602,461650,664900
India,IND,1998,2230663,463400,738300
India,IND,1999,2236138,464730,810300
India,IND,2000,2242025,465850,904040
India,IND,2001,2248361,467180,962910
India,IND,2002,2255144,468580,1127780
India,IND,2003,2262720,469910,1249000
India,IND,2004,2304139,444500,1343000
India,IND,2005,2346316,425250,1440700
India,IND,2006,2389008,404915,1555050
India,IND,2007,2433418,385000,1791400
India,IND,2008,2450579,381500,1919100
India,IND,2009,2468973,378000,2120800
India,IND,2010,2543671,371000,2226150
India,IND,2011,2548922,364000,2515600
India,IND,2012,2553761,357000,2712800
India,IND,2013,2581291,353500,2878822
India,IND,2014,2576037,350000,3073960
India,IND,2015,2560374,343759,3291664
Indonesia,IDN,1990,303500,544500,508700
Indonesia,IDN,1991,309700,572000,583500
Indonesia,IDN,1992,342000,583000,646600
Indonesia,IDN,1993,397512,621500,698634
Indonesia,IDN,1994,384657,660000,822675
Indonesia,IDN,1995,359462,572000,875700
Indonesia,IDN,1996,395865,599500,946979
Indonesia,IDN,1997,401003,632500,898636
Indonesia,IDN,1998,388942,621500,620521
Indonesia,IDN,1999,356876,550000,620184
Indonesia,IDN,2000,385795,412500,817740
Indonesia,IDN,2001,382329,418000,923520
Indonesia,IDN,2002,372599,467500,1104790
Indonesia,IDN,2003,410350,495000,1138960
Indonesia,IDN,2004,487810,194683,1213121
Indonesia,IDN,2005,396757,173669,1147060
Indonesia,IDN,2006,439729,195983,1284679
Indonesia,IDN,2007,381236,228905,1339925
Indonesia,IDN,2008,431543,209777,1380480
Indonesia,IDN,2009,443955,200118,1430180
Indonesia,IDN,2010,472364,211993,1565600
Indonesia,IDN,2011,520664,224800,1693021
Indonesia,IDN,2012,545870,232143,1767621
Indonesia,IDN,2013,542655,298440,1872482
Indonesia,IDN,2014,532907,302287,1972405
Indonesia,IDN,2015,542071,330213,2065738
United States of America,USA,1990,10465000,6964000,10758618
United States of America,USA,1991,10316064,7257487,11330232
United States of America,USA,1992,10394989,7816767,12013727
United States of America,USA,1993,10471646,7750542,12536161
United States of America,USA,1994,10454863,8027234,13354434
United States of America,USA,1995,11061317,8095726,13942153
United States of America,USA,1996,11441428,7763696,14690846
United States of America,USA,1997,11578866,7835818,15132891
United States of America,USA,1998,11562083,8623255,15320962
United States of America,USA,1999,11684553,8757065,16192515
United States of America,USA,2000,12016583,8596946,16575480
United States of America,USA,2001,12195753,8691294,16994948
United States of America,USA,2002,11890031,8928976,17516114
United States of America,USA,2003,12334552,9056890,17699635
United States of America,USA,2004,11947637,9312716,18211581
United States of America,USA,2005,11180612,9391823,18833171
United States of America,USA,2006,11242845,9558699,18969393
United States of America,USA,2007,11909626,9961898,19386382
United States of America,USA,2008,12030872,10598969,19880520
United States of America,USA,2009,12091245,10441709,18952914
United States of America,USA,2010,11818953,10185656,19583418
United States of America,USA,2011,11969954,10330715,19792181
United States of America,USA,2012,11916067,10554200,19795664
United States of America,USA,2013,11788608,10524535,20085210
United States of America,USA,2014,11698116,10368227,20399386
United States of America,USA,2015,10777601,11120748,21017380
